Município;Sigla da Unidade da Federação;Área da unidade territorial;Estabelecimentos de Saúde SUS;Índice de Desenvolvimento Humano Municipal - 2010 (IDHM 2010);Matrícula - Ensino fundamental - 2012;Matrícula - Ensino médio - 2012;Pessoal ocupado total;PIB per capita a preços correntes;População residente - Homens;População residente - Mulheres;População residente que frequentava creche ou escola;População residente, religião católica apostólica romana;População residente, religião espírita;População residente, religião evangélicas;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Rural;Valor do rendimento nominal mediano mensal per capita dos domicílios particulares permanentes - Urbana;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Rural;Valor do rendimento nominal médio mensal dos domicílios particulares permanentes com rendimento domiciliar, por situação do domicílio - Urbana;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal no município de residência;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência que exerciam o trabalho principal em mais de um município ou país;Pessoas de 10 anos ou mais de idade, Sem instrução e fundamental incompleto - Total;Pessoas de 10 anos ou mais de idade, Fundamental completo e médio incompleto - Total;Pessoas de 10 anos ou mais de idade, Médio completo e superior incompleto - Total;Pessoas de 10 anos ou mais de idade, Superior completo - Total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2000 - total;Taxa de analfabetismo da população de 15 anos ou mais de idade - 2010 - total;Unidades domésticas por tipo - nuclear - homem com filho(s);Unidades domésticas por tipo - nuclear - mulher com filho(s)
320501;ES;586,417;10;0,662;4466;908;3033;13492,46;12133;11710;7642;14184;.;7065;310,33;350;1385,97;1622,67;8816;202;12327;3208;2832;714;21;14,6;2,5;11,8
320503;ES;413,631;18;0,663;2938;651;3858;10651,71;9827;9303;5280;14625;47;3630;365;500;1447,99;1878,73;9541;92;10707;2637;2159;575;15,3;11,3;2,4;9,7
320506;ES;185,909;8;0,728;3237;1122;5780;14520,66;10335;10112;5847;16908;62;2807;342,5;575;1497,68;2783,94;10179;152;9749;3355;3244;1320;10,9;8,5;1,7;10,9
320510;ES;312,745;21;0,686;9792;2612;13428;15041,29;33191;31810;18355;29648;499;22348;340;445;1266,28;1766,36;13949;535;31528;11151;10657;1455;10;7;2,3;15,5
320515;ES;433,257;5;0,681;1265;401;1317;12800,94;4493;4179;2219;3726;36;4311;297,5;446;1170,39;1853,77;5120;55;4741;1325;1173;263;20,2;14,2;2,2;8,8
320517;ES;470,096;7;0,675;2151;565;1292;14048,86;7208;6622;3200;8669;6;4252;375;510;1816,2;2072,07;7259;103;7808;1631;1812;447;18,2;14,1;1,7;7,6
320520;ES;210,067;42;0,8;56413;14453;120631;16839,65;199146;215440;118608;200951;7274;148847;370;722,5;1407,4;3764,39;144972;5071;124404;63383;119482;50737;5,4;3,6;2,3;17,3
320530;ES;98,194;86;0,845;41903;16465;257631;76721,66;153948;173853;103701;177439;8883;96977;.;1010;.;5669,48;134745;3051;78758;43976;94160;70152;4,6;3;2,4;18,6
330010;RJ;825,088;58;0,724;26742;6959;48971;60119,62;84666;84845;53526;70209;3114;60307;406,67;550;1634,12;2595,28;73247;360;72816;30145;32679;7790;8,9;5,1;2,4;12,7
330015;RJ;94,636;8;0,692;1242;343;2132;8946,1;5023;5190;2672;5042;154;3604;400;430;1056,4;1622,55;3816;191;4717;1611;2195;438;13,3;10,6;2,1;14,2
330020;RJ;638,023;32;0,718;18810;4405;22708;11290,91;54283;57725;33040;44004;3837;38042;250;500;1095,12;2180,2;39186;495;48211;17587;22708;7477;12,3;7,4;2,3;15,2
330022;RJ;110,919;11;0,684;1614;235;7950;17154,8;5661;5762;3230;7461;1047;2119;370;500;1442,88;1948,85;3681;81;5713;1535;2091;482;9,5;7,3;2,2;15,2
330023;RJ;70,278;16;0,728;5973;1129;13084;46806,66;13742;13818;7863;8525;586;10902;.;550;.;2573,25;13039;23;11387;4416;5681;1938;7,3;4,6;2,6;13,1
330025;RJ;160,286;11;0,733;4238;1009;5718;12862,13;13627;14088;8190;12792;454;9239;.;517,5;.;2218,05;10250;87;10399;4721;6836;1932;7,2;4,6;2,6;14,3
330030;RJ;578,965;41;0,733;11952;2564;21071;14620,59;45154;49624;26419;51985;4567;27191;500;510;1435,05;2252,93;32400;441;37168;17034;21579;6380;6,9;4,5;2,6;18,2
330040;RJ;547,226;69;0,729;22672;5679;39991;18022,37;85792;92021;50697;97513;4528;54201;340;510;1645,39;2220,03;58870;726;73165;30380;39865;10989;6,4;4;2,3;16,7
330045;RJ;77,815;58;0,684;73405;18777;37059;9520,41;226757;242575;153662;152503;8550;174250;.;402,5;.;1600,98;89328;1515;205102;86844;93134;10345;8;5;2,5;17,3
330050;RJ;384,639;14;0,66;4148;763;5827;14030,05;12720;12613;6326;17860;282;4975;425;525;1538,55;2227,98;10601;251;14640;3135;2998;1115;17;10,7;2,4;13,2
330060;RJ;598,825;35;0,732;5517;2037;6840;11494,55;17196;18215;10699;23837;533;8850;304;510;1092,79;2373,96;13254;180;15753;4858;7422;2770;13,6;9,9;2,6;15,9
330070;RJ;410,418;54;0,735;30275;6311;49052;35182,24;90831;95396;57199;63163;4611;78061;500;540;2002,16;2755,31;69347;871;73405;31513;39552;14335;8,3;5;2,4;14,8
330080;RJ;953,801;32;0,7;8703;2029;9741;16987,64;27062;27211;15261;17628;353;20907;340;510;1230,96;1949,43;20981;134;25189;7788;11322;2426;14;9,3;2,7;14,7
330090;RJ;561,7;8;0,691;1869;528;1713;10809,38;7407;7420;3763;8997;71;4104;350;410;1197,9;1587,65;5378;48;7592;1890;2980;599;17,5;12,7;2,2;12,9
330093;RJ;308,13;9;0,713;1880;520;2591;83859,53;6788;6571;3752;5351;82;5022;383,33;510;1564,93;2162,29;3604;29;5770;2339;2920;389;12,7;8,5;2;13,1
330095;RJ;106,887;10;0,685;1455;309;4432;15629,23;4076;4104;2310;4898;147;2246;510;508;1693,59;1774,67;2297;79;3932;1375;1478;267;9,9;7,4;2,9;15,8
330100;RJ;4026,696;110;0,716;73959;15612;106196;54607,81;223259;240472;145898;232568;10956;144025;266,67;466,67;1104,87;2371,91;173998;1187;199306;67117;96780;31658;10,1;6,9;2,2;16,9
330110;RJ;749,279;28;0,709;2828;619;4542;28420,3;9831;9999;5784;13266;197;4369;370;510;1457,01;2205,04;8627;113;9381;2732;3956;970;12,6;9,5;2,4;14
330115;RJ;524,631;11;0,648;2102;360;1700;9537,31;6270;6330;3481;4052;114;4857;266,67;406,67;896,69;1552,49;3979;65;6935;1584;2036;385;19,7;15,2;2,1;14,1
330120;RJ;321,943;17;0,696;2571;550;3203;22517,67;8600;8834;4766;10762;797;4070;400;460;1484,89;1737,81;6230;187;8154;2582;3383;837;13,5;9,9;1,9;15,4
330130;RJ;460,771;16;0,726;6048;2097;7164;48517,35;17423;17924;10513;11589;689;14420;500;570,67;2175,68;2419,98;12265;196;14644;5863;7278;2127;12,4;7;2;15,3
330140;RJ;347,272;13;0,712;3359;874;2541;8727,37;10549;10662;6372;9576;106;7580;340;506,67;1464,01;2034,45;6282;87;9446;2677;4995;965;13,1;9,7;2,4;15,2
330150;RJ;116,349;14;0,729;3005;800;5245;10339,48;9781;10649;5924;12290;328;5984;305;510;1351,83;2278,57;7393;377;8487;3104;4768;1378;9;5,8;2,7;17,7
330160;RJ;375,126;10;0,659;1726;243;1615;14571,11;5511;5419;3161;7593;82;2145;354;500;1378,93;1796,01;4570;114;6141;1219;1610;364;17,6;11,7;2,6;13,9
330170;RJ;467,619;82;0,711;131810;36447;204043;30988,8;411074;443974;262968;299971;19178;314459;255;478,2;1489,85;1900,47;242920;2632;350036;160089;184244;30784;8;5;2,5;17,7
330180;RJ;132,94;12;0,722;1753;769;1958;11138,21;6449;6788;3357;6149;208;4141;340;500;1531,24;1653,42;4053;65;5663;2057;3355;640;9,1;5,8;2,4;15,4
330185;RJ;360,766;11;0,698;7459;1540;5983;9425,08;25280;26203;15387;18434;922;17352;334;452,5;1314,64;2005,83;15492;119;23260;8582;9933;1684;11,8;7,5;2,5;13,9
330187;RJ;51,945;14;0,761;3785;1115;2951;10326,53;11046;11805;6492;9194;930;7369;.;510;.;2438,61;6648;124;7958;4603;5720;1605;8,8;4,3;2,4;14,4
330190;RJ;430,374;62;0,693;36776;7618;37551;10025,62;106190;111818;67951;72914;3306;85147;382,5;446,67;1328,39;1860,87;57627;728;99046;37014;43841;6741;10,8;6,6;2,3;15,8
330200;RJ;275,867;27;0,715;19812;5426;36944;39252,85;54409;54682;32931;35487;1558;45127;437,5;500;1610,9;2047,75;35897;191;45116;18073;25048;3792;9,4;5,4;2,4;14,3
